Question Number,Question,Option A,Option B,Option C,Option D,Answer
1,What is the tone of the passage?,Urgent and Concerned,Optimistic and Hopeful,Neutral and Objective,Indifferent and Detached,A
2,Which of the following best explains the immediate challenges faced by Muhammad Yunus as he takes charge of Bangladesh's interim government?,The need to restructure the state bureaucracy to make it more efficient.,The necessity to curb violence and restore law and order across the nation.,The requirement to reestablish diplomatic relations with neighboring countries.,The demand to reform economic policies to stabilize the nation's economy.,B
3,What does the passage suggest about the impact of violence on the minority communities in Bangladesh?,Minority communities have remained unaffected by the chaos in the country.,The interim government has effectively protected the minority communities.,Minority communities have supported the violence against the state.,The violence has specifically targeted minority communities and their properties.,D
4,Which of the following can be inferred about Mr. Yunus’s position as the head of the interim government?,Mr. Yunus has the political machinery necessary to govern Bangladesh effectively.,Mr. Yunus’s administration is likely to face challenges in maintaining military neutrality.,The political opposition fully supports Mr. Yunus without any reservations.,Mr. Yunus has already secured a long-term political alliance with major parties.,B
5,Mr. Yunus’s administration should aim to facilitate _______________ at the earliest to ensure political stability in Bangladesh.,Military control over civilian administration,Economic reforms targeting the middle class,Free and fair elections,A peace agreement with neighboring countries.,C
6,Select the most appropriate option to fill in blank no. 1.,believed,wished,hoped,planned,A
7,Select the most appropriate option to fill in blank no. 2.,light,little,minute,sparse,B
8,Select the most appropriate option to fill in blank no. 3.,breaks,forms,methods,customs,C
9,Select the most appropriate option to fill in blank no. 4.,reference,relevance,consistency,recurrence,B
10,Select the most appropriate option to fill in blank no. 5.,merely,purely,hardly,entirely,A
11,Select the most appropriate option that collocates with ‘wish’ to fill in the blank.,The genie asked Aladdin to ________ a wish,take,tell,make,ask
12,Read the sentence carefully and select the most appropriate option to substitute the underlined part.,You can be sentenced for trespassing on someone else’s property,conspiring against others,leaving without permission,showing unselfish devotion,entering without permission
13,Select the most appropriate option that can substitute the underlined segment in the given sentence. If there is no need to substitute it,select ‘No improvement required’.,We set up on the journey early in the morning.,set off,No improvement required,set about
14,Select the most appropriate option that can substitute the underlined segment in the given sentence.,The wizard,while performing an item,accidentally set his own hat on fire and prompted the fire alarm to go on.,the fire alarm to go away,the fire alarm to go off
15,Select the most appropriate ANTONYM of the underlined word in the following sentence.,The upshot of the consultation with the doctor was an operation scheduled for the next week,Result,Estimate,Blame,Cause
16,Select the most appropriate synonym of the given word.,Remission,Punishment,Pardon,Retribution,Overlook
17,Identify the incorrectly spelt word and select its correct spelling.,Maybe he wanted to make sure he didn’t embarrese her.,emberess,shure,embarrass,sware
18,Select the most appropriate ANTONYM of the word given in the bracket to fill in the blank.,The State media houses present ______ (vociferous) views compared to private media,assertive,political,biased,mild
19,Select the option that rectifies the spelling of the underlined word in the given sentence.,It has been a usual ocurrence for a few days now.,occurrence,occurrance,occerrence,occurrence
20,Select the most appropriate option that can substitute the underlined segment in the given sentence.,It will take two hours to walk across the forest,between,through,over,away
21,Select the most appropriate synonym of the underlined word.,Let us assume that we will do the job honestly,give,take,think,allow
22,Select the most appropriate meaning of the given idiom.,On its last legs,Last choice,Creeping on legs,Slow movement,In a bad condition
23,Select the most appropriate ANTONYM of the underlined word in the given sentence.,Few people turned up to attend the tawdry promo of the new movie,Gawdy,Elegant,Inferior,Showy
24,Select the most appropriate option to fill in the blank.,She could easily eat the _________ biryani by herself,hall,hole,whole,haul
25,Select the most appropriate idiomatic expression that can substitute the underlined segment in the given sentence.,It feels like I made a promise of more than my ability when I promised to complete this worksheet in one day.,beat my brain out,bit off more than I could chew,beat the drum,burnt a hole in my pocket
